id,name,first_air_date,actors,genres,vote_average,poster_path,overview,ubicacion
62717,Jonathan Strange & Mr Norrell,2015-05-17,"Bertie Carvel, Eddie Marsan, Marc Warren, Charlotte Riley, Alice Englert","Drama,Sci-Fi & Fantasy",7.37,/Aq6aqgHo3nzRTT84kV7DrJ8Ifyc.jpg,"A principios del siglo XIX, nadie en Inglaterra cree en la magia... hasta que el señor Norrell decide hacer que las estatuas de la Catedral de York cobren vida. Entonces es invitado por el gobierno para ayudar en la guerra contra Napoleón... y para un encargo más delicado. Mientras tanto, el arrogante Jonathan Strange conoce a un mago callejero que le asegura un gran futuro en el negocio...",H
283396,"Juan Gabriel: I Must, I Can, I Will",2025-10-30,"Juan Gabriel, Olga Breeskin, Pati Chapoy, María Luisa Arcaraz Genesta, Daniela Romo",Documental,8.486,/c9rfR44NJIQTtWXpBXkYXqupgfr.jpg,"Vídeos inéditos y entrevistas exclusivas muestran la genialidad, los sacrificios y la dualidad entre la vida pública y privada del emblemático cantautor Juan Gabriel.",puedo y quiero
203704,Junji Ito Maniac: Japanese Tales of the Macabre,2023-01-19,,"Animación,Misterio,Sci-Fi & Fantasy,Drama",6.976,/ukv8mhsMtAGjhFeZ0PLYynA80hX.jpg,"Junji Ito, el maestro del manga de terror, presenta una escalofriante selección de algunas de sus historias más sorprendentes, inquietantes y aterradoras.",O
102621,KAOS,2024-08-29,Jeff Goldblum,"Comedia,Sci-Fi & Fantasy,Drama",7.234,/dDBTUSl3tRsOeKC1jZugBSFHy9I.jpg,"En una nueva versión contemporánea de la mitología griega, el Monte Olimpo se ve sumido en la discordia mientras el todopoderoso Zeus, consumido por la paranoia, enfrenta desafíos tanto de sus compañeros dioses como de los mortales. Las intrigas y traiciones entre los dioses crean el caos, haciendo que el equilibrio del universo esté en juego.",O
72750,Killing Eve,2018-04-08,"Sandra Oh, Jodie Comer, Fiona Shaw, Kim Bodnia, Camille Cottin","Crimen,Drama",7.908,/4wKhTVw8aGq5AZMa0Q1spERdi7n.jpg,"Basada en las novelas de Luke Jennings, Killing Eve se centra en dos mujeres muy diferentes. Eve es una ingeniosa agente del MI5 cuyo aburrido trabajo se aleja de su sueño de ser espía. Villanelle es una asesina experta que disfruta de los lujos que su violento trabajo le brinda. Estas dos inteligentes e intensas mujeres se enfrentarán en un épico juego del gato y el ratón.",H K
156878,Killing It,2022-03-31,"Craig Robinson, Claudia O'Doherty, Rell Battle","Comedia,Drama",6.2,/531oH3x2cnNAO2ubDQgLYrwJIsC.jpg,"Una comedia sobre la clase, el capitalismo y la búsqueda de un hombre para lograr el sueño americano. Y también sobre la caza de serpientes realmente grandes.",M
15123,Kitchen Confidential,2005-09-19,"Bradley Cooper, Nicholas Brendon, John Francis Daley, Jaime King, Bonnie Somerville",Comedia,6.7,/uxe8bPoLbULtE7zFer3HlBv8eHZ.jpg,,G
71446,Money Heist,2017-05-02,"Úrsula Corberó, Itziar Ituño, Álvaro Morte, Pedro Alonso, Miguel Herrán","Crimen,Drama",8.23,/z01Dc0Ly2GmCpLe6Scx4d3dPP1S.jpg,"Un enigmático personaje llamado el Profesor planea algo grande: llevar a cabo el mayor atraco de la historia. Para ello recluta una banda de ocho personas que reúnen un único requisito, ninguno tiene nada que perder. Cinco meses de reclusión memorizando cada paso, cada detalle, cada probabilidad… y por fin, once días de encierro en la Fábrica Nacional de Moneda, rodeados de cuerpos de policía y con decenas de rehenes en su poder para saber si su apuesta suicida será todo o nada.",M
72613,Cathedral of the Sea,2018-05-23,"Aitor Luna, Pablo Derqui, Michelle Jenner, Daniel Grao, Andrea Duro",Drama,6.754,/nEO1n2PVuKhY9BGl8KKNvyj0K7n.jpg,"Barcelona, siglo XIV. Bajo la Corona de Aragón, la ciudad condal se encuentra en su momento de mayor prosperidad y los habitantes del humilde barrio de pescadores de la Ribera deciden construir, con el dinero de unos y el esfuerzo de otros, el mayor templo mariano jamás conocido: la catedral Santa María del Mar. Mientras se construye el edificio, Arnau Estanyol va creciendo y descubriendo Barcelona. Adaptación de la famosa novela de Ildefonso Falcones, publicada en 2006.",K
206925,La Máquina,2024-10-09,"Gael García Bernal, Diego Luna, Eiza González, Jorge Perugorría, Karina Gidi","Drama,Comedia",6.7,/hDsIZmWVr4kTJFjgZ8Gwzx6nDJD.jpg,"Esteban Osuna, ""La Máquina"", es un boxeador en sus últimos días de gloria que ha perdido estrepitosamente. Por suerte para él, su mánager y mejor amigo, Andy Luján, está decidido a que recupere su gloria pasada. Pero cuando una perversa organización aparece en escena, la pelea de revancha se vuelve a vida o muerte. Esteban debe lidiar con sus propios demonios personales y proteger a su familia.",O
