id,name,first_air_date,actors,genres,vote_average,poster_path,overview,ubicacion
68421,Altered Carbon,2018-02-02,"Anthony Mackie, Renée Elise Goldsberry, Chris Conner, Lela Loren, Simone Missick","Sci-Fi & Fantasy,Drama",7.633,/AisK4uFsnwwmMkSynFpNl0VeGR.jpg,"250 años después de su muerte, un prisionero vuelve a la vida en un nuevo cuerpo para resolver un asesinato y ganar así su libertad.",H
64513,American Crime Story,2016-02-02,"Sarah Paulson, Beanie Feldstein, Annaleigh Ashford, Margo Martindale, Edie Falco","Crimen,Drama",7.579,/dtIS3Qk8ny1FWQLiuJ77MTDX5bZ.jpg,'American Crime Story' es una serie de televisión estadounidense de antología y basada en crímenes reales.,M
215866,American Primeval,2025-01-09,"Taylor Kitsch, Betty Gilpin, Dane DeHaan, Saura Lightfoot-Leon, Derek Hinkey","Western,Drama,Action & Adventure",7.715,/ff0s9OHGNSZL6cVteIb7LNvTnJD.jpg,Una madre y su hijo huyen de su pasado y forman una nueva familia mientras se enfrentan a un duro panorama de libertad y crueldad en el viejo Oeste.,P
73126,American Vandal,2017-09-15,"Tyler Alvarez, Griffin Gluck","Comedia,Crimen",7.456,/hMbVY6f4zfUcX0xf2jo3xZFdrMp.jpg,"Después del éxito de su primer documental, Peter y Sam buscan otro caso y se deciden por un nauseabundo misterio en un instituto de Washington.",K
116450,And Just Like That…,2021-12-09,"Sarah Jessica Parker, Cynthia Nixon, Kristin Davis, Mario Cantone, Sarita Choudhury","Comedia,Drama",7.223,/2b6E0pN19IGsmxSv6HyTKydKKdb.jpg,"Esta nueva entrega de 'Sexo en Nueva York' sigue a Carrie, Miranda y Charlotte en su viaje desde la complicada realidad de la vida y la amistad a los 30 años, hasta la aún más complicada realidad de la vida y la amistad a los 50 años.",M
258154,Ángel Di María: Breaking Down the Wall,2024-09-12,"Ángel Di María, Lionel Messi, Jorgelina Cardoso, Emiliano Martínez, Neymar",Documental,7.731,/2khl08Y9ZCsapnRQsfNJzwurmxk.jpg,"Esta serie documental narra la vida y la carrera del mítico futbolista argentino, desde sus humildes orígenes hasta que se convirtió en campeón del mundo.",O
66025,Animal Kingdom,2016-06-14,"Finn Cole, Shawn Hatosy, Ben Robson, Jake Weary, Leila George","Crimen,Drama",7.8,/rzvdKrnSRKPFI0pgqMQknDPpRC9.jpg,La serie se centra en una familia de criminales mientras se enfrentan a la policía. Sus vidas quedan atrapadas en medio de esta lucha y se ven en la obligación de tomar bandos.,P
206180,Another Self,2022-07-28,"Tuba Büyüküstün, Boncuk Yılmaz, Seda Bakan, Rıza Kocaoğlu, Füsun Demirel",Drama,8.126,/p2UqCeIEdDqq0MTR8HwGEfZfu6J.jpg,"Tres amigas llegan a un pueblo costero, donde se conectan con su lado espiritual y, sin imaginarlo, enfrentan traumas familiares del pasado.",N O
96005,Riot Police,2020-10-16,"Victoria Luengo, Raúl Arévalo, Álex García, Hovik Keuchkerian, Roberto Álamo","Drama,Crimen",7.4,/nGSWzX6i9nXiDpt5O9desGk1MMW.jpg,"Seis antidisturbios ejecutan un desahucio en el centro de Madrid que se complica y un hombre acaba muriendo. Un equipo de Asuntos Internos será el encargado de investigar los hechos y los seis antidisturbios se enfrentan a una acusación de homicidio imprudente. El grupo de agentes busca una salida por su cuenta que acaba separándolos y, finalmente, complicando aún más la situación. Laia, una de las agentes de Asuntos Internos, se obsesiona con el caso y acaba descubriendo que, tras ese desahucio malogrado, hay mucho más.",J
10283,Archer,2009-09-17,"H. Jon Benjamin, Judy Greer, Amber Nash, Chris Parnell, Aisha Tyler","Comedia,Action & Adventure,Animación",7.932,/vhnrkTGYPqcB63ALcSJm0WoaKHT.jpg,"En la agencia de espionaje internacional ISIS, las crisis mundiales no son más que una excusa para que sus empleados se hagan la vida imposible los unos a los otros. En el centro de la acción está Archer, un maestro del espionaje. Trabaja para su autoritaria madre, la directora de ISIS Malory. Su compañera de trabajo (y ex-novia) Lana ahora sale con Cyril el contable.",J
112314,Archive 81,2022-01-14,"Mamoudou Athie, Dina Shihabi, Evan Jonigkeit, Martin Donovan, Matt McGorry","Drama,Misterio,Sci-Fi & Fantasy",7.218,/l1jeSEm6a88GFcLzlHQr60D0dOi.jpg,"Mientras restaura unas cintas de vídeo dañadas, un archivista se ve envuelto en una misteriosa trama relacionada con la directora desaparecida y una secta demoniaca.",J
131433,Arctic Ascent with Alex Honnold,2024-02-04,"Alex Honnold, Hazel Findlay, Mikey Schaefer, Aldo Kane, Sanni McCandless",Documental,6.933,/2B7QGN575Xm2Fgz0FPIhNx735PM.jpg,Alex Honnold dirige una expedición a Groenlandia para escalar un enorme acantilado marino de 1.000 metros e investigar las repercusiones del cambio climático en la región.,P
236449,Bank Under Siege,2024-11-08,"Miguel Herrán, María Pedraza, Hovik Keuchkerian, Tomy Aguilera, Isak Férriz","Crimen,Drama,Action & Adventure",6.727,/qotEvxBhgVJpnN3Mf23GYJ3ESRG.jpg,"España, 1981. Un grupo de hombres armados asalta un banco y toma cientos de rehenes. Una periodista compite con las autoridades para descubrir el verdadero motivo del golpe.",O
82452,Avatar: The Last Airbender,2024-02-22,"Gordon Cormier, Kiawentiio, Ian Ousley, Dallas Liu, Miyako","Action & Adventure,Sci-Fi & Fantasy,Drama,Familia",7.772,/lzZpWEaqzP0qVA5nkCc5ASbNcSy.jpg,"El nuevo y joven Avatar debe aprender a controlar los elementos para salvar un mundo en guerra, además de enfrentarse a un despiadado enemigo decidido a pararle los pies.",H
5027,Baa Baa Black Sheep,1976-09-21,"Robert Conrad, Simon Oakland, Dana Elcar, Dirk Blocker, W.K. Stratton","Action & Adventure,Drama,War & Politics",7.602,/u4VN9UMiUfPVgIvtubGQyfrZ581.jpg,"Serie de TV de 37 episodios (1976-1978). El mayor Gregory Boyington (apodado 'Pappy' por su edad) se dedica a defender a un grupo de militares que tienen pendiente algún juicio por cargos como desobediencia, indisciplina o beber durante el servicio. Este grupo de inadaptados acabó siendo uno de los mejores escuadrones de combate durante la Segunda Guerra Mundial (1939-1945). La serie se basa en la novela autobiográfica del propio Boyington.",M
66980,Babylon Berlin,2017-10-13,"Volker Bruch, Liv Lisa Fries, Ulrich Noethen","Drama,Crimen,Misterio",7.737,/jYShWyYllx9DhOS6d92mN2yVsbA.jpg,"Babylon Berlín, una serie alemana de 16 capítulos ambientada en el Berlín de los años veinte, cuando la diversión parecía no tener fin en la gran ciudad y que tiene como protagonista a un joven detective de 29 años marcado por su experiencia en la Gran Guerra, puede escribir un nuevo y gran capitulo en la historia de las producciones para televisión que se han hecho hasta la fecha en Europa, por una razón existencial: la serie es terriblemente ambiciosa.",N
130853,Bad Monkey,2024-08-13,"Vince Vaughn, L. Scott Caldwell, Rob Delaney, Meredith Hagner, Natalie Martinez","Comedia,Crimen",7.15,/lUGG3lxIF3f2N796t4aHmxDhLK5.jpg,"Un detective convertido en inspector de restaurantes en el sur de Florida se ve arrastrado a un mundo de codicia y corrupción cuando un turista encuentra un brazo amputado mientras pescaba. Y sí, hay un mono.",O
199318,Bad Sisters,2022-08-19,"Sharon Horgan, Eva Birthistle, Sarah Greene, Eve Hewson, Owen McDonnell","Drama,Crimen",7.489,/z63D1Y8udrrFOhLFCT9YElcTr0w.jpg,"Las hermanas Garvey siempre han cuidado unas de otras. Pero cuando el cuñado, al que todas querían muerto, al fin fallece, sus vidas acaban patas arriba y su unión se pone a prueba como nunca.",M
4613,Band of Brothers,2001-09-09,"Michael Cudlitz, Rick Gomez, Scott Grimes, Damian Lewis, Ron Livingston","Drama,War & Politics",8.604,/pGzV187ogXzgJrvPRy2YPi29ofH.jpg,"Miniserie de TV de 10 episodios que se basa en el bestseller de Stephen E. Ambrose 'Band Of Brothers'. Narra la historia de la Easy Company, un batallón americano del regimiento 506 de paracaidistas que luchó en Europa durante la II Guerra Mundial (1939-1945). Incluye entrevistas a los supervivientes, recuerdos de los periodistas y cartas de los soldados.",J
41727,Banshee,2013-01-11,"Antony Starr, Ivana Miličević, Hoon Lee, Frankie Faison, Ulrich Thomsen","Crimen,Drama",7.973,/5nXFiz8Rn8eezVjSTZBd7HmnF1G.jpg,"Este western contemporáneo nos sumerge en la América profunda siguiendo la odisea de Lucas Hood, un ex convicto dispuesto a cualquier cosa para resolver los asuntos de su turbio pasado. La oscura vida de Lucas Hood se complica aún más cuando, tras salir de prisión, decide tomar la identidad del nuevo sheriff de Banshee, un pequeño pueblo situado en Pennsylvania que oculta más de lo que parece. Allí espera encontrarse con su antigua colega y amante Ana, al tiempo que huye de quienes lo persiguen desde hace años y lidia a su manera con las acciones del siniestro cacique del pueblo.",J
93785,Barbarians,2020-10-23,"Laurence Rupp, Jeanne Goursaud, David Schütter, Gaetano Aronica, Bernhard Schütz","Action & Adventure,Drama",7.298,/sTg3BKkNueUbNPuIwoFLkxoR8iv.jpg,"Dividido entre el poderoso imperio que lo crió y su propio pueblo tribal, las lealtades conflictivas de un oficial romano conducen a un choque histórico épico.",J
65430,Baron Noir,2016-02-08,"Kad Merad, Anna Mouglalis, Astrid Whettnall, Alex Lutz, El Hadj Kamera","Drama,Crimen",7.595,/gINvtfRTIrmdJnKp5iEntGJR9X3.jpg,"En una historia de escala épica, el político francés Philippe Rickwaert tiene sed de venganza contra sus enemigos políticos. La carrera política de Philippe está en ruinas después de ser sacrificado por el candidato presidencial de la izquierda, Francis Laugier, para salvar su elección. Paso a paso, Philippe conspira contra él y forja una alianza con su asesora más cercana, Amélie Dorendeu.",J
